"first_name","last_name","title","co","publisher","year","link","upload","google"
"Michael","Strevens","The Knowledge Machine","","Liveright","2020","https://wwnorton.com/books/9781631491375","https://cdn.wwnorton.com/dam_booktitles/573/img/cover/9781631491375_300.jpeg","Search for The Knowledge Machine on Google"
"John","Zerilli","A Citizen's Guide to Artificial Intelligence","John Danaher et al.","MIT Press","2021","https://mitpress.mit.edu/books/citizens-guide-artificial-intelligence","https://mitpress.mit.edu/sites/default/files/styles/large_book_cover/http/mitp-content-server.mit.edu%3A18180/books/covers/cover/%3Fcollid%3Dbooks_covers_0%26isbn%3D9780262044813%26type%3D.jpg?itok=8zMAASdv","Search for A Citizen's Guide to Artificial Intelligence on Google"
"John","Zerilli","The Adaptable Mind","","Oxford University Press","2020","https://global.oup.com/academic/product/the-adaptable-mind-9780190067885","https://global.oup.com/academic/covers/pdp/9780190067885","Search for The Adaptable Mind on Google"
"Sharon","Crasnow","Routledge Handbook of Feminist Philosophy of Science","Kristen Intemann","Routledge","2021","https://www.routledge.com/The-Routledge-Handbook-of-Feminist-Philosophy-of-Science/Crasnow-Intemann/p/book/9781138579859","https://images.routledge.com/common/jackets/amazon/978113857/9781138579859.jpg","Search for Routledge Handbook of Feminist Philosophy of Science on Google"
"Alison","Wylie","Evidential Reasoning in Archaeology","Robert Chapman","Bloomsbury Academic","2016","https://www.bloomsbury.com/us/evidential-reasoning-in-archaeology-9781472528933/","https://media.bloomsbury.com/rep/f/9781472528933.jpg","Search for Evidential Reasoning in Archaeology on Google"
"Sabina","Leonelli","Model Organisms","Rachel Ankeny","Cambridge University Press","2020","https://www.cambridge.org/core/elements/model-organisms/F895B26EAC0373BCA5A138835AC73AEA","https://assets.cambridge.org/97811087/42320/cover/9781108742320.jpg","Search for Model Organisms on Google"
"Angela","Potochnik","Idealization and the Aims of Science","","University of Chicago Press","2017","https://press.uchicago.edu/ucp/books/book/chicago/I/bo27128726.html","https://press.uchicago.edu/dam/ucp/books/jacket/978/02/26/75/9780226759449.jpg","Search for Idealization and the Aims of Science on Google"
"Anya","Plutynski","Explaining Cancer: Finding Order in Disorder","","Oxford University Press","2018","https://oxford.universitypressscholarship.com/view/10.1093/oso/9780199967452.001.0001/oso-9780199967452","https://oxford.universitypressscholarship.com/view/covers/9780199967452.jpg","Search for Explaining Cancer: Finding Order in Disorder on Google"
"Michael","Ruse","The Problem of War","","Oxford University Press","2018","https://global.oup.com/academic/product/the-problem-of-war-9780190867577?cc=us&lang=en&","https://global.oup.com/academic/covers/pdp/9780190867577","Search for The Problem of War on Google"
"Michael","Ruse","On Purpose","","Princeton University Press","2017","https://press.princeton.edu/books/hardcover/9780691172460/on-purpose","https://pup-assets.imgix.net/onix/images/9780691172460.jpg?w","Search for On Purpose on Google"
"Michael","Ruse","Darwinism as Religion","","Oxford University Press","2017","https://global.oup.com/academic/product/darwinism-as-religion-9780190241025?cc=us&lang=en&","https://global.oup.com/academic/covers/pop-up/9780190241025","Search for Darwinism as Religion on Google"
"Inmaculada","de Melo-Martín","The Fight Against Doubt","Kristen Intemann","Oxford University Press","2018","https://global.oup.com/academic/product/the-fight-against-doubt-9780190869229?cc=us&lang=en&","https://global.oup.com/academic/covers/pdp/9780190869229","Search for The Fight Against Doubt on Google"
